08=1,Cargobit
09=2H,TextID for the cargo type name
0A=2H,TextID for the name of one unit from the cargo type
0B=2H,TextID to be displayed for 1 unit of cargo
0C=2H,TextID to be displayed for multiple units of cargo
0D=2H,TextID for cargo type abbreviation
0E=2,Sprite number for the icon of the cargo
0F=1,Weight of one unit of the cargo
10=1,Penalty time #1
11=1,Penalty time #2
12=4,Base price
13=1,Color for the station list window
14=1,Color for the cargo payment list window
15=1H,Freight status
16=2H,Cargo classes
17=4S,Cargo label
18=1H,Substitute type for town growth
19=2,Multiplier for town growth
1A=1H,Callback flags

